,Metabolism,Value,SampleID,Plate
Itaconic_Acid,carboxylic_acid,2.0684,2,6
alpha_keto_butyric_acid,carboxylic_acid,2.5084,2,6
D_malic_Acid,carboxylic_acid,1.7756,2,6
L_Arginine,aminoacid,2.0807,2,6
L_Asparagine,aminoacid,1.7132,2,6
L_phenylalanine,aminoacid,1.6881,2,6
L_serine,aminoacid,2.3772,2,6
L_threonine,aminoacid,2.1457,2,6
Glycyl_L_glutamic_Acid,aminoacid,1.5578,2,6
Phenylethyl_amine,amine,2.2305,2,6
Putrescine,amine,2.2923,2,6
Water,control,1.0695,3,6
Pyruvic_acid_methyl_esther,ester,1.5502,3,6
Tween40,polymer,1.7271,3,6
Tween80,polymer,2.2641,3,6
alpha_cyclodextrin,polymer,1.9349,3,6
Glycogen,polymer,1.9669,3,6
D_cellobiose,carbohydrate,1.7773,3,6
alfa_D_Lactose,carbohydrate,2.0504,3,6
Beta_methyl_D_glucoside,carbohydrate,1.913,3,6
D_xylose,carbohydrate,1.9118,3,6
I_Erytritol,carbohydrate,0.7142,3,6
D_Mannitol,carbohydrate,1.7676,3,6
N_acetyl_D_glucosamine,carbohydrate,1.7902,3,6
D_glucosaminic_acid,carboxylic_acid,2.274,3,6
Glucose_1_phosphate,phosphorylated,2.3753,3,6
D_L_alpha_glycerol_phospate,phosphorylated,2.0655,3,6
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4375,3,6
D_galactouronic_acid,carboxylic_acid,1.8275,3,6
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3352,3,6
four_hydroxy_benzoic_Acid,carboxylic_acid,1.7162,3,6
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0178,3,6
Itaconic_Acid,carboxylic_acid,1.8599,3,6
alpha_keto_butyric_acid,carboxylic_acid,2.3097,3,6
D_malic_Acid,carboxylic_acid,1.9332,3,6
L_Arginine,aminoacid,1.9338,3,6
L_Asparagine,aminoacid,1.5953,3,6
L_phenylalanine,aminoacid,1.6418,3,6
L_serine,aminoacid,2.3757,3,6
L_threonine,aminoacid,2.1041,3,6
Glycyl_L_glutamic_Acid,aminoacid,1.5192,3,6
Phenylethyl_amine,amine,1.8926,3,6
Putrescine,amine,2.1645,3,6
Water,control,1.0282,1,7
Pyruvic_acid_methyl_esther,ester,1.8776,1,7
Tween40,polymer,1.9519,1,7
Tween80,polymer,2.1224,1,7
alpha_cyclodextrin,polymer,2.0968,1,7
Glycogen,polymer,2.3174,1,7
D_cellobiose,carbohydrate,2.0249,1,7
alfa_D_Lactose,carbohydrate,2.1063,1,7
Beta_methyl_D_glucoside,carbohydrate,2.063,1,7
D_xylose,carbohydrate,1.5926,1,7
I_Erytritol,carbohydrate,0.8190000000000001,1,7
D_Mannitol,carbohydrate,2.1416,1,7
N_acetyl_D_glucosamine,carbohydrate,1.6835,1,7
D_glucosaminic_acid,carboxylic_acid,2.5116,1,7
Glucose_1_phosphate,phosphorylated,2.3694,1,7
D_L_alpha_glycerol_phospate,phosphorylated,2.1885,1,7
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2267,1,7
D_galactouronic_acid,carboxylic_acid,2.013,1,7
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4427,1,7
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8993,1,7
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9211,1,7
Itaconic_Acid,carboxylic_acid,2.0319,1,7
alpha_keto_butyric_acid,carboxylic_acid,2.1475,1,7
D_malic_Acid,carboxylic_acid,1.7343,1,7
L_Arginine,aminoacid,2.0569,1,7
L_Asparagine,aminoacid,1.6894,1,7
L_phenylalanine,aminoacid,1.8147,1,7
L_serine,aminoacid,2.4954,1,7
L_threonine,aminoacid,2.2351,1,7
Glycyl_L_glutamic_Acid,aminoacid,1.643,1,7
Phenylethyl_amine,amine,1.9582,1,7
Putrescine,amine,2.1638,1,7
Water,control,1.7713,2,7
Pyruvic_acid_methyl_esther,ester,2.0936,2,7
Tween40,polymer,2.2139,2,7
Tween80,polymer,2.4906,2,7
alpha_cyclodextrin,polymer,2.1784,2,7
Glycogen,polymer,2.4756,2,7
D_cellobiose,carbohydrate,2.3131,2,7
alfa_D_Lactose,carbohydrate,2.5474,2,7
Beta_methyl_D_glucoside,carbohydrate,2.0152,2,7
D_xylose,carbohydrate,1.7603,2,7
I_Erytritol,carbohydrate,1.2392,2,7
D_Mannitol,carbohydrate,2.3156,2,7
N_acetyl_D_glucosamine,carbohydrate,2.0497,2,7
D_glucosaminic_acid,carboxylic_acid,2.5773,2,7
Glucose_1_phosphate,phosphorylated,2.5074,2,7
D_L_alpha_glycerol_phospate,phosphorylated,2.356,2,7
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2739,2,7
D_galactouronic_acid,carboxylic_acid,2.3865,2,7
two_hydroxy_benzoic_Acid,carboxylic_acid,2.6204,2,7
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9921,2,7
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1891,2,7
Itaconic_Acid,carboxylic_acid,2.1908,2,7
alpha_keto_butyric_acid,carboxylic_acid,2.506,2,7
D_malic_Acid,carboxylic_acid,1.9523,2,7
L_Arginine,aminoacid,2.392,2,7
L_Asparagine,aminoacid,2.0794,2,7
L_phenylalanine,aminoacid,1.8647,2,7
L_serine,aminoacid,2.5692,2,7
L_threonine,aminoacid,2.4449,2,7
Glycyl_L_glutamic_Acid,aminoacid,1.9079,2,7
Phenylethyl_amine,amine,2.1073,2,7
Putrescine,amine,2.5004,2,7
Water,control,1.2327,3,7
Pyruvic_acid_methyl_esther,ester,1.8331,3,7
Tween40,polymer,1.8967,3,7
Tween80,polymer,2.187,3,7
alpha_cyclodextrin,polymer,1.7065,3,7
Glycogen,polymer,2.2829,3,7
D_cellobiose,carbohydrate,1.8566,3,7
alfa_D_Lactose,carbohydrate,2.1706,3,7
Beta_methyl_D_glucoside,carbohydrate,1.818,3,7
D_xylose,carbohydrate,1.4751,3,7
I_Erytritol,carbohydrate,1.5038,3,7
D_Mannitol,carbohydrate,1.9016,3,7
N_acetyl_D_glucosamine,carbohydrate,1.9531,3,7
D_glucosaminic_acid,carboxylic_acid,2.2322,3,7
Glucose_1_phosphate,phosphorylated,2.2381,3,7
D_L_alpha_glycerol_phospate,phosphorylated,1.9971,3,7
D_galactonic_acid_gama_lactone,carboxylic_acid,1.6107,3,7
D_galactouronic_acid,carboxylic_acid,1.9023,3,7
two_hydroxy_benzoic_Acid,carboxylic_acid,2.1901,3,7
four_hydroxy_benzoic_Acid,carboxylic_acid,1.5814,3,7
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0858,3,7
Itaconic_Acid,carboxylic_acid,1.8517,3,7
alpha_keto_butyric_acid,carboxylic_acid,2.4371,3,7
D_malic_Acid,carboxylic_acid,1.5026,3,7
L_Arginine,aminoacid,2.0463,3,7
L_Asparagine,aminoacid,1.4249,3,7
L_phenylalanine,aminoacid,1.176,3,7
L_serine,aminoacid,2.3571,3,7
L_threonine,aminoacid,2.0568,3,7
Glycyl_L_glutamic_Acid,aminoacid,1.1404,3,7
Phenylethyl_amine,amine,1.8565,3,7
Putrescine,amine,2.0914,3,7
Water,control,1.2625,1,8
Pyruvic_acid_methyl_esther,ester,1.9926,1,8
Tween40,polymer,2.0585,1,8
Tween80,polymer,2.1697,1,8
alpha_cyclodextrin,polymer,2.0237,1,8
Glycogen,polymer,2.2474,1,8
D_cellobiose,carbohydrate,2.0482,1,8
alfa_D_Lactose,carbohydrate,2.3216,1,8
Beta_methyl_D_glucoside,carbohydrate,1.9180000000000001,1,8
D_xylose,carbohydrate,1.8074,1,8
I_Erytritol,carbohydrate,1.2914,1,8
D_Mannitol,carbohydrate,1.9266,1,8
N_acetyl_D_glucosamine,carbohydrate,1.9618,1,8
D_glucosaminic_acid,carboxylic_acid,2.3248,1,8
Glucose_1_phosphate,phosphorylated,2.3244,1,8
D_L_alpha_glycerol_phospate,phosphorylated,2.1345,1,8
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2792,1,8
D_galactouronic_acid,carboxylic_acid,2.0571,1,8
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3748,1,8
four_hydroxy_benzoic_Acid,carboxylic_acid,1.767,1,8
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9937,1,8
Itaconic_Acid,carboxylic_acid,1.9873,1,8
alpha_keto_butyric_acid,carboxylic_acid,2.3437,1,8
D_malic_Acid,carboxylic_acid,1.7021,1,8
L_Arginine,aminoacid,2.1274,1,8
L_Asparagine,aminoacid,1.8856,1,8
L_phenylalanine,aminoacid,1.6469999999999998,1,8
L_serine,aminoacid,2.4608,1,8
L_threonine,aminoacid,2.2508,1,8
Glycyl_L_glutamic_Acid,aminoacid,1.7443,1,8
Phenylethyl_amine,amine,2.1516,1,8
Putrescine,amine,2.1833,1,8
Water,control,1.7280000000000002,2,8
Pyruvic_acid_methyl_esther,ester,1.733,2,8
Tween40,polymer,2.0115,2,8
Tween80,polymer,2.1612,2,8
alpha_cyclodextrin,polymer,2.1552,2,8
Glycogen,polymer,2.1325,2,8
D_cellobiose,carbohydrate,2.0207,2,8
alfa_D_Lactose,carbohydrate,2.2004,2,8
Beta_methyl_D_glucoside,carbohydrate,1.9256,2,8
D_xylose,carbohydrate,2.2268,2,8
I_Erytritol,carbohydrate,1.5499,2,8
D_Mannitol,carbohydrate,1.9165,2,8
N_acetyl_D_glucosamine,carbohydrate,1.7255,2,8
D_glucosaminic_acid,carboxylic_acid,2.4632,2,8
Glucose_1_phosphate,phosphorylated,2.2822,2,8
D_L_alpha_glycerol_phospate,phosphorylated,2.1782,2,8
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1603,2,8
D_galactouronic_acid,carboxylic_acid,2.1422,2,8
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3959,2,8
four_hydroxy_benzoic_Acid,carboxylic_acid,2.1176,2,8
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0614,2,8
Itaconic_Acid,carboxylic_acid,2.1006,2,8
alpha_keto_butyric_acid,carboxylic_acid,2.3379,2,8
D_malic_Acid,carboxylic_acid,1.778,2,8
L_Arginine,aminoacid,2.0923,2,8
L_Asparagine,aminoacid,1.692,2,8
L_phenylalanine,aminoacid,1.8512,2,8
L_serine,aminoacid,2.4316,2,8
L_threonine,aminoacid,2.1918,2,8
Glycyl_L_glutamic_Acid,aminoacid,1.7335,2,8
Phenylethyl_amine,amine,2.1493,2,8
Putrescine,amine,2.1962,2,8
Water,control,1.245,3,8
Pyruvic_acid_methyl_esther,ester,1.8538,3,8
Tween40,polymer,1.9353,3,8
Tween80,polymer,2.1911,3,8
alpha_cyclodextrin,polymer,1.8785,3,8
Glycogen,polymer,2.2584,3,8
D_cellobiose,carbohydrate,1.8894,3,8
alfa_D_Lactose,carbohydrate,2.0288,3,8
Beta_methyl_D_glucoside,carbohydrate,1.8413,3,8
D_xylose,carbohydrate,1.8877,3,8
I_Erytritol,carbohydrate,1.0197,3,8
D_Mannitol,carbohydrate,2.0658,3,8
N_acetyl_D_glucosamine,carbohydrate,1.6176,3,8
D_glucosaminic_acid,carboxylic_acid,2.1764,3,8
Glucose_1_phosphate,phosphorylated,2.4324,3,8
D_L_alpha_glycerol_phospate,phosphorylated,2.0695,3,8
D_galactonic_acid_gama_lactone,carboxylic_acid,2.096,3,8
D_galactouronic_acid,carboxylic_acid,2.0567,3,8
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4163,3,8
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8221,3,8
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1288,3,8
Itaconic_Acid,carboxylic_acid,2.2052,3,8
alpha_keto_butyric_acid,carboxylic_acid,2.4145,3,8
D_malic_Acid,carboxylic_acid,1.7607,3,8
L_Arginine,aminoacid,2.0135,3,8
L_Asparagine,aminoacid,1.6497,3,8
L_phenylalanine,aminoacid,1.4571,3,8
L_serine,aminoacid,2.3675,3,8
L_threonine,aminoacid,2.2104,3,8
Glycyl_L_glutamic_Acid,aminoacid,1.6492,3,8
Phenylethyl_amine,amine,1.8909,3,8
Putrescine,amine,2.1361,3,8
Water,control,1.1913,1,9
Pyruvic_acid_methyl_esther,ester,1.9054,1,9
Tween40,polymer,1.8747,1,9
Tween80,polymer,1.952,1,9
alpha_cyclodextrin,polymer,1.9992,1,9
Glycogen,polymer,2.3372,1,9
D_cellobiose,carbohydrate,1.8954,1,9
alfa_D_Lactose,carbohydrate,1.943,1,9
Beta_methyl_D_glucoside,carbohydrate,1.8404,1,9
D_xylose,carbohydrate,1.4394,1,9
I_Erytritol,carbohydrate,0.8311,1,9
D_Mannitol,carbohydrate,1.8768,1,9
N_acetyl_D_glucosamine,carbohydrate,1.7301,1,9
D_glucosaminic_acid,carboxylic_acid,2.1672,1,9
Glucose_1_phosphate,phosphorylated,2.3132,1,9
D_L_alpha_glycerol_phospate,phosphorylated,2.1024,1,9
D_galactonic_acid_gama_lactone,carboxylic_acid,1.7976,1,9
D_galactouronic_acid,carboxylic_acid,2.1314,1,9
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3826,1,9
four_hydroxy_benzoic_Acid,carboxylic_acid,1.6116,1,9
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.8622,1,9
Itaconic_Acid,carboxylic_acid,1.9069,1,9
alpha_keto_butyric_acid,carboxylic_acid,1.6337,1,9
D_malic_Acid,carboxylic_acid,1.6339,1,9
L_Arginine,aminoacid,2.0553,1,9
L_Asparagine,aminoacid,1.713,1,9
L_phenylalanine,aminoacid,1.6631,1,9
L_serine,aminoacid,1.8022,1,9
L_threonine,aminoacid,2.2915,1,9
Glycyl_L_glutamic_Acid,aminoacid,1.3980000000000001,1,9
Phenylethyl_amine,amine,1.6096,1,9
Putrescine,amine,2.1458,1,9
Water,control,1.4807,2,9
Pyruvic_acid_methyl_esther,ester,2.1464,2,9
Tween40,polymer,2.2014,2,9
Tween80,polymer,2.386,2,9
alpha_cyclodextrin,polymer,2.1483,2,9
Glycogen,polymer,2.475,2,9
D_cellobiose,carbohydrate,2.2616,2,9
alfa_D_Lactose,carbohydrate,2.3739,2,9
Beta_methyl_D_glucoside,carbohydrate,2.1566,2,9
D_xylose,carbohydrate,2.1416,2,9
I_Erytritol,carbohydrate,2.1837,2,9
D_Mannitol,carbohydrate,2.2578,2,9
N_acetyl_D_glucosamine,carbohydrate,2.2225,2,9
D_glucosaminic_acid,carboxylic_acid,2.5975,2,9
Glucose_1_phosphate,phosphorylated,2.3978,2,9
D_L_alpha_glycerol_phospate,phosphorylated,2.2233,2,9
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4878,2,9
D_galactouronic_acid,carboxylic_acid,2.3659,2,9
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4735,2,9
four_hydroxy_benzoic_Acid,carboxylic_acid,2.4743,2,9
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.3194,2,9
Itaconic_Acid,carboxylic_acid,2.2408,2,9
alpha_keto_butyric_acid,carboxylic_acid,2.5437,2,9
D_malic_Acid,carboxylic_acid,2.0236,2,9
L_Arginine,aminoacid,2.3254,2,9
L_Asparagine,aminoacid,2.021,2,9
L_phenylalanine,aminoacid,1.9405,2,9
L_serine,aminoacid,2.5664,2,9
L_threonine,aminoacid,2.3579,2,9
Glycyl_L_glutamic_Acid,aminoacid,1.9786,2,9
Phenylethyl_amine,amine,2.237,2,9
Putrescine,amine,2.3615,2,9
Water,control,1.5777,3,9
Pyruvic_acid_methyl_esther,ester,2.1085,3,9
Tween40,polymer,2.0874,3,9
Tween80,polymer,2.1453,3,9
alpha_cyclodextrin,polymer,2.0335,3,9
Glycogen,polymer,2.362,3,9
D_cellobiose,carbohydrate,2.0619,3,9
alfa_D_Lactose,carbohydrate,2.105,3,9
Beta_methyl_D_glucoside,carbohydrate,2.4064,3,9
D_xylose,carbohydrate,1.9024,3,9
I_Erytritol,carbohydrate,2.0731,3,9
D_Mannitol,carbohydrate,2.1329,3,9
N_acetyl_D_glucosamine,carbohydrate,1.8606,3,9
D_glucosaminic_acid,carboxylic_acid,2.3713,3,9
Glucose_1_phosphate,phosphorylated,2.3195,3,9
D_L_alpha_glycerol_phospate,phosphorylated,2.104,3,9
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4077,3,9
D_galactouronic_acid,carboxylic_acid,2.1767,3,9
two_hydroxy_benzoic_Acid,carboxylic_acid,2.347,3,9
four_hydroxy_benzoic_Acid,carboxylic_acid,2.0026,3,9
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1196,3,9
Itaconic_Acid,carboxylic_acid,2.04,3,9
alpha_keto_butyric_acid,carboxylic_acid,2.4849,3,9
D_malic_Acid,carboxylic_acid,1.8706,3,9
L_Arginine,aminoacid,2.1138,3,9
L_Asparagine,aminoacid,1.9580000000000002,3,9
L_phenylalanine,aminoacid,1.724,3,9
L_serine,aminoacid,2.3141,3,9
L_threonine,aminoacid,2.2217,3,9
Glycyl_L_glutamic_Acid,aminoacid,1.8136,3,9
Phenylethyl_amine,amine,2.0286,3,9
Putrescine,amine,2.228,3,9
Water,control,1.3371,1,10
Pyruvic_acid_methyl_esther,ester,2.114,1,10
Tween40,polymer,2.1374,1,10
Tween80,polymer,2.3491,1,10
alpha_cyclodextrin,polymer,2.0088,1,10
Glycogen,polymer,2.2536,1,10
D_cellobiose,carbohydrate,2.0803,1,10
alfa_D_Lactose,carbohydrate,2.426,1,10
Beta_methyl_D_glucoside,carbohydrate,1.8826,1,10
D_xylose,carbohydrate,2.4459999999999997,1,10
I_Erytritol,carbohydrate,1.3403,1,10
D_Mannitol,carbohydrate,1.85,1,10
N_acetyl_D_glucosamine,carbohydrate,1.7844,1,10
D_glucosaminic_acid,carboxylic_acid,2.4162,1,10
Glucose_1_phosphate,phosphorylated,2.2301,1,10
D_L_alpha_glycerol_phospate,phosphorylated,2.1738,1,10
D_galactonic_acid_gama_lactone,carboxylic_acid,2.3063,1,10
D_galactouronic_acid,carboxylic_acid,2.1597,1,10
two_hydroxy_benzoic_Acid,carboxylic_acid,2.5372,1,10
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9683,1,10
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9280000000000002,1,10
Itaconic_Acid,carboxylic_acid,2.1901,1,10
alpha_keto_butyric_acid,carboxylic_acid,2.0392,1,10
D_malic_Acid,carboxylic_acid,1.7744,1,10
L_Arginine,aminoacid,2.2376,1,10
L_Asparagine,aminoacid,2.13,1,10
L_phenylalanine,aminoacid,1.8133,1,10
L_serine,aminoacid,2.4372,1,10
L_threonine,aminoacid,2.3595,1,10
Glycyl_L_glutamic_Acid,aminoacid,1.9403,1,10
Phenylethyl_amine,amine,2.2894,1,10
Putrescine,amine,2.1793,1,10
Water,control,1.1278,2,10
Pyruvic_acid_methyl_esther,ester,1.7609,2,10
Tween40,polymer,2.0467,2,10
Tween80,polymer,2.2721,2,10
alpha_cyclodextrin,polymer,1.8723,2,10
Glycogen,polymer,2.3782,2,10
D_cellobiose,carbohydrate,2.1322,2,10
alfa_D_Lactose,carbohydrate,2.2269,2,10
Beta_methyl_D_glucoside,carbohydrate,1.8939,2,10
D_xylose,carbohydrate,1.8106,2,10
I_Erytritol,carbohydrate,0.6653,2,10
D_Mannitol,carbohydrate,1.8795,2,10
N_acetyl_D_glucosamine,carbohydrate,1.9121,2,10
D_glucosaminic_acid,carboxylic_acid,2.4074,2,10
Glucose_1_phosphate,phosphorylated,2.2556,2,10
D_L_alpha_glycerol_phospate,phosphorylated,2.0822,2,10
D_galactonic_acid_gama_lactone,carboxylic_acid,1.9953,2,10
D_galactouronic_acid,carboxylic_acid,2.2504,2,10
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4799,2,10
four_hydroxy_benzoic_Acid,carboxylic_acid,1.6475,2,10
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9819,2,10
Itaconic_Acid,carboxylic_acid,1.9333,2,10
alpha_keto_butyric_acid,carboxylic_acid,2.3333,2,10
D_malic_Acid,carboxylic_acid,1.7781,2,10
L_Arginine,aminoacid,2.1688,2,10
L_Asparagine,aminoacid,1.6153,2,10
L_phenylalanine,aminoacid,1.6969,2,10
L_serine,aminoacid,2.4493,2,10
L_threonine,aminoacid,2.2202,2,10
Glycyl_L_glutamic_Acid,aminoacid,1.7168,2,10
Phenylethyl_amine,amine,1.9382,2,10
Putrescine,amine,2.1035,2,10
Water,control,1.135,3,10
Pyruvic_acid_methyl_esther,ester,1.834,3,10
Tween40,polymer,1.7099,3,10
Tween80,polymer,1.8534,3,10
alpha_cyclodextrin,polymer,1.7276,3,10
Glycogen,polymer,2.1413,3,10
D_cellobiose,carbohydrate,1.7721,3,10
alfa_D_Lactose,carbohydrate,1.9516,3,10
Beta_methyl_D_glucoside,carbohydrate,1.9036,3,10
D_xylose,carbohydrate,1.4568,3,10
I_Erytritol,carbohydrate,0.8298,3,10
D_Mannitol,carbohydrate,1.9989,3,10
N_acetyl_D_glucosamine,carbohydrate,1.7943,3,10
D_glucosaminic_acid,carboxylic_acid,2.1784,3,10
Glucose_1_phosphate,phosphorylated,2.1317,3,10
D_L_alpha_glycerol_phospate,phosphorylated,2.0409,3,10
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2468,3,10
D_galactouronic_acid,carboxylic_acid,2.0044,3,10
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2067,3,10
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9169999999999998,3,10
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.8581,3,10
Itaconic_Acid,carboxylic_acid,1.9222,3,10
alpha_keto_butyric_acid,carboxylic_acid,1.8514,3,10
D_malic_Acid,carboxylic_acid,1.7461,3,10
L_Arginine,aminoacid,1.9391,3,10
L_Asparagine,aminoacid,1.6529,3,10
L_phenylalanine,aminoacid,1.6708,3,10
L_serine,aminoacid,2.1336,3,10
L_threonine,aminoacid,1.6825,3,10
Glycyl_L_glutamic_Acid,aminoacid,1.6453,3,10
Phenylethyl_amine,amine,1.7054,3,10
Putrescine,amine,1.9999,3,10
Water,control,0.9871,1,11
Pyruvic_acid_methyl_esther,ester,1.9307,1,11
Tween40,polymer,1.9994,1,11
Tween80,polymer,2.3054,1,11
alpha_cyclodextrin,polymer,1.8274,1,11
Glycogen,polymer,2.2936,1,11
D_cellobiose,carbohydrate,1.835,1,11
alfa_D_Lactose,carbohydrate,2.4721,1,11
Beta_methyl_D_glucoside,carbohydrate,1.9183,1,11
D_xylose,carbohydrate,1.4446,1,11
I_Erytritol,carbohydrate,2.0355,1,11
D_Mannitol,carbohydrate,1.9123,1,11
N_acetyl_D_glucosamine,carbohydrate,2.0802,1,11
D_glucosaminic_acid,carboxylic_acid,2.3254,1,11
Glucose_1_phosphate,phosphorylated,2.2876,1,11
D_L_alpha_glycerol_phospate,phosphorylated,2.2451,1,11
D_galactonic_acid_gama_lactone,carboxylic_acid,1.6664,1,11
D_galactouronic_acid,carboxylic_acid,2.0719,1,11
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4203,1,11
four_hydroxy_benzoic_Acid,carboxylic_acid,1.4696,1,11
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9982,1,11
Itaconic_Acid,carboxylic_acid,1.8926,1,11
alpha_keto_butyric_acid,carboxylic_acid,2.1978,1,11
D_malic_Acid,carboxylic_acid,1.5251,1,11
L_Arginine,aminoacid,2.0991,1,11
L_Asparagine,aminoacid,1.7821,1,11
L_phenylalanine,aminoacid,1.5263,1,11
L_serine,aminoacid,2.4934,1,11
L_threonine,aminoacid,2.2081,1,11
Glycyl_L_glutamic_Acid,aminoacid,1.5689,1,11
Phenylethyl_amine,amine,2.0318,1,11
Putrescine,amine,2.1569,1,11
Water,control,1.2681,2,11
Pyruvic_acid_methyl_esther,ester,1.7829,2,11
Tween40,polymer,1.8147,2,11
Tween80,polymer,2.191,2,11
alpha_cyclodextrin,polymer,1.9628,2,11
Glycogen,polymer,2.0761,2,11
D_cellobiose,carbohydrate,2.0831,2,11
alfa_D_Lactose,carbohydrate,2.3267,2,11
Beta_methyl_D_glucoside,carbohydrate,1.8508,2,11
D_xylose,carbohydrate,1.6863,2,11
I_Erytritol,carbohydrate,1.6621,2,11
D_Mannitol,carbohydrate,1.9314,2,11
N_acetyl_D_glucosamine,carbohydrate,2.0402,2,11
D_glucosaminic_acid,carboxylic_acid,2.3091,2,11
Glucose_1_phosphate,phosphorylated,2.4167,2,11
D_L_alpha_glycerol_phospate,phosphorylated,2.1931,2,11
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2667,2,11
D_galactouronic_acid,carboxylic_acid,2.1948,2,11
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3811,2,11
four_hydroxy_benzoic_Acid,carboxylic_acid,1.5574,2,11
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1246,2,11
Itaconic_Acid,carboxylic_acid,2.0647,2,11
alpha_keto_butyric_acid,carboxylic_acid,2.4248,2,11
D_malic_Acid,carboxylic_acid,1.6338,2,11
L_Arginine,aminoacid,2.1097,2,11
L_Asparagine,aminoacid,1.806,2,11
L_phenylalanine,aminoacid,1.3765,2,11
L_serine,aminoacid,2.3224,2,11
L_threonine,aminoacid,1.93,2,11
Glycyl_L_glutamic_Acid,aminoacid,1.5193,2,11
Phenylethyl_amine,amine,2.0294,2,11
Putrescine,amine,2.1107,2,11
Water,control,1.4969999999999999,3,11
Pyruvic_acid_methyl_esther,ester,2.0493,3,11
Tween40,polymer,1.9902,3,11
Tween80,polymer,2.1093,3,11
alpha_cyclodextrin,polymer,2.1621,3,11
Glycogen,polymer,2.3398,3,11
D_cellobiose,carbohydrate,2.025,3,11
alfa_D_Lactose,carbohydrate,2.0961,3,11
Beta_methyl_D_glucoside,carbohydrate,2.0112,3,11
D_xylose,carbohydrate,1.9357,3,11
I_Erytritol,carbohydrate,1.3886,3,11
D_Mannitol,carbohydrate,2.0177,3,11
N_acetyl_D_glucosamine,carbohydrate,1.9155,3,11
D_glucosaminic_acid,carboxylic_acid,2.3234,3,11
Glucose_1_phosphate,phosphorylated,2.2904,3,11
D_L_alpha_glycerol_phospate,phosphorylated,2.0909999999999997,3,11
D_galactonic_acid_gama_lactone,carboxylic_acid,2.3107,3,11
D_galactouronic_acid,carboxylic_acid,2.1324,3,11
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3525,3,11
four_hydroxy_benzoic_Acid,carboxylic_acid,2.0344,3,11
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1854,3,11
Itaconic_Acid,carboxylic_acid,2.0980000000000003,3,11
alpha_keto_butyric_acid,carboxylic_acid,2.3741,3,11
D_malic_Acid,carboxylic_acid,1.94,3,11
L_Arginine,aminoacid,2.25,3,11
L_Asparagine,aminoacid,1.8744,3,11
L_phenylalanine,aminoacid,1.8734,3,11
L_serine,aminoacid,2.384,3,11
L_threonine,aminoacid,2.161,3,11
Glycyl_L_glutamic_Acid,aminoacid,1.8085,3,11
Phenylethyl_amine,amine,1.9245,3,11
Putrescine,amine,2.1362,3,11
Water,control,1.4594,1,12
Pyruvic_acid_methyl_esther,ester,1.9898,1,12
Tween40,polymer,1.9552,1,12
Tween80,polymer,2.1436,1,12
alpha_cyclodextrin,polymer,1.9557,1,12
Glycogen,polymer,2.34,1,12
D_cellobiose,carbohydrate,1.8956,1,12
alfa_D_Lactose,carbohydrate,2.2376,1,12
Beta_methyl_D_glucoside,carbohydrate,2.0054,1,12
D_xylose,carbohydrate,1.7544,1,12
I_Erytritol,carbohydrate,1.1141,1,12
D_Mannitol,carbohydrate,1.9153,1,12
N_acetyl_D_glucosamine,carbohydrate,1.8264,1,12
